HC_class,n,model,R2,Adjusted_R2,CV_R2_mean,CV_R2_std
0.1–0.3,21240,Baseline (cc),0.18966937739302792,0.18963122264104526,,
0.1–0.3,21240,+ intensity,0.2574733891655435,0.2574034615287931,,
0.1–0.3,21240,+ antecedent,0.2596795629212387,0.2595749781919472,,
0.1–0.3,21240,+ neighbourhood,0.2730996698267515,0.2728600173064418,,
0.1–0.3,21240,+ shape/temporal-loading,0.27871849503899493,0.2782767415496661,,
0.1–0.3,21240,Random Forest: Baseline (intensity+acc),,,0.15795854343644983,0.08311472994774034
0.1–0.3,21240,Random Forest: + antecedent,,,0.16006180454162577,0.07715284706930807
0.1–0.3,21240,Random Forest: + neighbourhood,,,0.17706297156463147,0.07310811429509072
0.1–0.3,21240,Random Forest: + shape/temporal-loading,,,0.20253715860983848,0.0854425692385453
0.3–0.6,36386,Baseline (cc),0.11824247310188785,0.11821823834136402,,
0.3–0.6,36386,+ intensity,0.21987459901904294,0.21983171495775167,,
0.3–0.6,36386,+ antecedent,0.2286414213458211,0.22857781638358798,,
0.3–0.6,36386,+ neighbourhood,0.2549851357091253,0.25484177697444943,,
0.3–0.6,36386,+ shape/temporal-loading,0.26644414627437796,0.2661819603594314,,
0.3–0.6,36386,Random Forest: Baseline (intensity+acc),,,0.08957774472171134,0.15723441209836345
0.3–0.6,36386,Random Forest: + antecedent,,,0.0666121585940376,0.1487774629799585
0.3–0.6,36386,Random Forest: + neighbourhood,,,0.12026668390305513,0.13985178227663142
0.3–0.6,36386,Random Forest: + shape/temporal-loading,,,0.15069630928976205,0.14021338784650067
0.6–0.9,5364,Baseline (cc),0.11927979105540898,0.11911553887171922,,
0.6–0.9,5364,+ intensity,0.3122850648441321,0.3120285026597799,,
0.6–0.9,5364,+ antecedent,0.36396791507830195,0.3636119269710696,,
0.6–0.9,5364,+ neighbourhood,0.3981810919253751,0.39739454742266367,,
0.6–0.9,5364,+ shape/temporal-loading,0.4340062928640239,0.4326309810522916,,
